msa,firms,fsize,fage4,job_creation_births,job_creation_continuers,job_destruction,year2
26820,238,m,a,1367,0,0,1977
26820,1262,m,l,1078,13605,3357,1977
26900,2692,m,a,19036,0,0,1977
26900,15511,m,l,10254,44516,70682,1977
26980,317,m,a,1643,0,0,1977
26980,1495,m,l,535,2409,3350,1977
27060,220,m,a,1173,0,0,1977
27060,1091,m,l,680,5842,2874,1977
27100,273,m,a,3409,0,0,1977
27100,1908,m,l,962,3802,5769,1977
27140,1119,m,a,6549,0,0,1977
27140,5791,m,l,3034,15919,16806,1977
27180,234,m,a,1732,0,0,1977
27180,1353,m,l,670,2771,3505,1977
27260,2012,m,a,12016,0,0,1977
27260,9824,m,l,7007,29332,37549,1977
27340,179,m,a,926,0,0,1977
27340,910,m,l,577,1093,2366,1977
27500,297,m,a,2079,0,0,1977
27500,1886,m,l,887,3926,4917,1977
27620,244,m,a,1395,0,0,1977
27620,1730,m,l,1878,2193,3319,1977
27740,308,m,a,1438,0,0,1977
27740,1855,m,l,643,4885,4309,1977
27780,271,m,a,2157,0,0,1977
27780,2344,m,l,687,9086,6189,1977
27860,327,m,a,1381,0,0,1977
27860,1357,m,l,845,2540,3018,1977
27900,375,m,a,2456,0,0,1977
27900,2078,m,l,771,4649,5312,1977
28020,562,m,a,3197,0,0,1977
28020,3668,m,l,1743,11910,10532,1977
28100,199,m,a,1152,0,0,1977
28100,1444,m,l,389,2904,3300,1977
28140,3749,m,a,25996,0,0,1977
28140,20977,m,l,20296,58420,73545,1977
28420,437,m,a,2753,0,0,1977
28420,1715,m,l,1261,4019,4854,1977
28660,537,m,a,3136,0,0,1977
28660,2191,m,l,1579,4028,5393,1977
28700,538,m,a,5039,0,0,1977
28700,3191,m,l,1986,6095,9251,1977
28740,329,m,a,1468,0,0,1977
28740,2199,m,l,297,4014,5082,1977
28940,1259,m,a,8013,0,0,1977
28940,6756,m,l,2675,13190,20219,1977
29020,248,m,a,1329,0,0,1977
29020,1407,m,l,2593,3750,3294,1977
29100,290,m,a,2915,0,0,1977
29100,1730,m,l,381,3321,3717,1977
29140,299,m,a,1851,0,0,1977
29140,1983,m,l,491,3051,4692,1977
29180,575,m,a,3244,0,0,1977
29180,2867,m,l,2885,7099,10678,1977
29340,480,m,a,3113,0,0,1977
29340,2268,m,l,1383,5059,5644,1977
29420,221,m,a,803,0,0,1977
29420,700,m,l,163,871,1663,1977
29460,868,m,a,37060,0,0,1977
29460,4066,m,l,2802,7229,15307,1977
29540,799,m,a,4671,0,0,1977
29540,5355,m,l,2219,11617,14411,1977
29620,731,m,a,5016,0,0,1977
29620,4634,m,l,2675,12719,13216,1977
29700,275,m,a,1695,0,0,1977
29700,1217,m,l,593,1669,3631,1977
29740,252,m,a,1496,0,0,1977
29740,1034,m,l,750,1901,2975,1977
29820,1333,m,a,9704,0,0,1977
29820,5085,m,l,3052,17074,19494,1977
29940,185,m,a,1294,0,0,1977
29940,897,m,l,276,1360,1803,1977
30020,260,m,a,1312,0,0,1977
30020,1248,m,l,283,2123,2778,1977
30140,217,m,a,1613,0,0,1977
30140,1571,m,l,497,2319,4214,1977
30300,184,m,a,825,0,0,1977
30300,910,m,l,344,1214,2059,1977
30340,256,m,a,3140,0,0,1977
30340,1526,m,l,444,3147,3501,1977
30460,859,m,a,5171,0,0,1977
30460,4657,m,l,2550,11164,16747,1977
30620,260,m,a,1621,0,0,1977
30620,1786,m,l,2409,2729,4792,1977
30700,589,m,a,4411,0,0,1977
30700,3312,m,l,1700,8003,10747,1977
30780,1450,m,a,7804,0,0,1977
30780,6871,m,l,3424,16792,21839,1977
30860,190,m,a,894,0,0,1977
30860,822,m,l,723,1455,1858,1977
30980,585,m,a,2987,0,0,1977
30980,2740,m,l,574,5613,6257,1977
31020,260,m,a,1577,0,0,1977
31020,1148,m,l,370,2916,3246,1977
31100,28931,m,a,246286,0,0,1977
31100,123988,m,l,121392,454824,515142,1977
31140,2218,m,a,15139,0,0,1977
31140,13401,m,l,8569,46890,44124,1977
31180,791,m,a,4562,0,0,1977
31180,3736,m,l,2092,6825,11966,1977
31340,360,m,a,1651,0,0,1977
31340,2645,m,l,714,14606,6423,1977
31420,486,m,a,2913,0,0,1977
31420,2893,m,l,2021,6266,8353,1977
31460,174,m,a,887,0,0,1977
31460,690,m,l,174,15163,1375,1977
31540,1051,m,a,6784,0,0,1977
31540,6040,m,l,2135,11210,14275,1977
31700,767,m,a,4448,0,0,1977
31700,4215,m,l,2201,10664,12608,1977
31740,245,m,a,1509,0,0,1977
31740,1302,m,l,306,1764,2751,1977
31860,197,m,a,941,0,0,1977
31860,1366,m,l,1031,2159,3555,1977
31900,259,m,a,1784,0,0,1977
31900,1863,m,l,788,4507,5649,1977
32580,616,m,a,3667,0,0,1977
32580,2893,m,l,1645,5724,8416,1977
32780,459,m,a,2984,0,0,1977
32780,1940,m,l,422,3435,4882,1977
32820,2333,m,a,32473,0,0,1977
32820,12162,m,l,9291,41299,46991,1977
32900,315,m,a,1511,0,0,1977
32900,1556,m,l,411,2884,4745,1977
33100,5873,m,a,36518,0,0,1977
33100,21731,m,l,18062,56705,69136,1977
33140,168,m,a,1102,0,0,1977
33140,1512,m,l,738,4078,4542,1977
33260,334,m,a,1844,0,0,1977
33260,1811,m,l,2090,3976,6162,1977
33340,2970,m,a,19390,0,0,1977
33340,19761,m,l,13662,54338,66631,1977
33460,5133,m,a,42859,0,0,1977
33460,28135,m,l,29578,117524,111569,1977
33540,338,m,a,1884,0,0,1977
33540,1426,m,l,495,2270,2751,1977
33660,893,m,a,6843,0,0,1977
33660,4733,m,l,3459,11602,17575,1977
33700,772,m,a,4606,0,0,1977
33700,3375,m,l,2585,6890,8843,1977
33740,461,m,a,2701,0,0,1977
33740,2375,m,l,807,5505,5498,1977
33780,180,m,a,980,0,0,1977
33780,1185,m,l,570,1965,2003,1977
33860,682,m,a,4590,0,0,1977
33860,3687,m,l,2661,7363,11577,1977
34060,198,m,a,1066,0,0,1977
