city,state,year,firms,job_births,job_continuers,job_destruction,lat,lon
Shreveport,LA,1977,5880,9147,11904,16837,32.5251516,-93.7501789
Sioux City,IA,1977,2893,3742,17343,9060,42.4999942,-96.4003069
Sioux Falls,SD,1977,3063,3747,28986,6020,43.5499749,-96.700327
Spokane,WA,1977,5996,7447,10662,12365,47.6587802,-117.4260466
Springfield,IL,1977,3588,5743,8004,9842,39.8403147,-88.9548001
Springfield,MO,1977,4632,6073,8862,9727,37.215326,-93.2982436
Syracuse,NY,1977,9707,11886,26607,28463,43.0481221,-76.1474244
Terre Haute,IN,1977,2728,4172,7461,6126,39.4667034,-87.4139092
Toledo,OH,1977,10180,14358,48915,26555,41.6639383,-83.555212
Topeka,KS,1977,3673,4732,5555,7983,39.0483336,-95.6780371
Tucson,AZ,1977,7323,12860,12436,21104,32.2217429,-110.926479
Tulsa,OK,1977,12877,23376,28262,33828,36.1539816,-95.992775
Utica,NY,1977,4551,5261,6865,10714,43.100903,-75.232664
Victoria,TX,1977,1713,1789,2671,2912,28.8052674,-97.0035982
Visalia,CA,1977,3579,5062,4314,7382,36.3302284,-119.2920585
Wilmington,NC,1977,2707,3576,3924,6078,34.2257255,-77.9447102
York,PA,1977,4887,6320,9035,12336,39.9625984,-76.727745
Youngstown,OH,1977,9453,17013,42667,27055,41.0997803,-80.6495194
Akron,OH,1982,9794,13732,26453,35825,41.0814447,-81.5190053
Albany,GA,1982,2325,2362,3947,5981,31.5785074,-84.155741
Alexandria,LA,1982,2181,2948,3181,6008,31.3112936,-92.4451371
Altoona,PA,1982,2124,2244,2554,4903,40.5186809,-78.3947359
Amarillo,TX,1982,4041,5513,7507,11066,35.2219971,-101.8312969
Ames,IA,1982,1269,1177,1463,3308,42.02335,-93.625622
Anchorage,AK,1982,4281,10207,16086,13714,61.2180556,-149.9002778
Anderson,SC,1982,1953,1634,2030,5736,34.5034394,-82.6501332
Appleton,WI,1982,2865,3451,3875,6238,44.2619309,-88.4153847
Atlanta,GA,1982,39733,103447,96532,160254,33.7489954,-84.3879824
Augusta,GA,1982,5171,8019,11051,14863,33.47,-81.975
Austin,TX,1982,11962,26240,26043,31036,30.267153,-97.7430608
Bakersfield,CA,1982,7011,14148,13585,18714,35.3732921,-119.0187125
Baltimore,MD,1982,31456,57679,67023,108367,39.2903848,-76.6121893
Bangor,ME,1982,2255,3127,4015,5836,44.8011821,-68.7778138
Baton Rouge,LA,1982,9383,15438,20439,32428,30.4507462,-91.154551
Battle Creek,MI,1982,2021,2446,2937,6106,42.3211522,-85.1797142
