msa,fipstate,fipscty,name_county,micro-metro,state1,city,city2,city3,city4,city5,city6,city7
12060,13,247,"Rockdale County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,255,"Spalding County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,297,"Walton County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12100,34,1,"Atlantic County, New Jersey",Metropolitan,NJ,Atlantic City,,,,,,
12140,18,33,"DeKalb County, Indiana",Micropolitan,IN,Auburn,,,,,,
12180,36,11,"Cayuga County, New York",Micropolitan,NY,Auburn,,,,,,
12220,1,81,"Lee County, Alabama",Metropolitan,AL,Auburn,Opelika,,,,,
12260,13,33,"Burke County, Georgia",Metropolitan,GA,Augusta,Richmond County,,,,,
12260,13,73,"Columbia County, Georgia",Metropolitan,GA,Augusta,Richmond County,,,,,
12260,13,189,"McDuffie County, Georgia",Metropolitan,GA,Augusta,Richmond County,,,,,
12260,13,245,"Richmond County, Georgia",Metropolitan,GA,Augusta,Richmond County,,,,,
12260,45,3,"Aiken County, South Carolina",Metropolitan,GA,Augusta,Richmond County,,,,,
12260,45,37,"Edgefield County, South Carolina",Metropolitan,GA,Augusta,Richmond County,,,,,
12300,23,11,"Kennebec County, Maine",Micropolitan,ME,Augusta,Waterville,,,,,
12380,27,99,"Mower County, Minnesota",Micropolitan,MN,Austin,,,,,,
12420,48,21,"Bastrop County, Texas",Metropolitan,TX,Austin,Round Rock,,,,,
12420,48,55,"Caldwell County, Texas",Metropolitan,TX,Austin,Round Rock,,,,,
12420,48,209,"Hays County, Texas",Metropolitan,TX,Austin,Round Rock,,,,,
12420,48,453,"Travis County, Texas",Metropolitan,TX,Austin,Round Rock,,,,,
12420,48,491,"Williamson County, Texas",Metropolitan,TX,Austin,Round Rock,,,,,
12460,13,87,"Decatur County, Georgia",Micropolitan,GA,Bainbridge,,,,,,
12540,6,29,"Kern County, California",Metropolitan,CA,Bakersfield,,,,,,
12580,24,3,"Anne Arundel County, Maryland",Metropolitan,MD,Baltimore,Towson,,,,,
12580,24,5,"Baltimore County, Maryland",Metropolitan,MD,Baltimore,Towson,,,,,
12580,24,13,"Carroll County, Maryland",Metropolitan,MD,Baltimore,Towson,,,,,
12580,24,25,"Harford County, Maryland",Metropolitan,MD,Baltimore,Towson,,,,,
12580,24,27,"Howard County, Maryland",Metropolitan,MD,Baltimore,Towson,,,,,
12580,24,35,"Queen Anne's County, Maryland",Metropolitan,MD,Baltimore,Towson,,,,,
12580,24,510,"Baltimore city, Maryland",Metropolitan,MD,Baltimore,Towson,,,,,
12620,23,19,"Penobscot County, Maine",Metropolitan,ME,Bangor,,,,,,
12660,55,111,"Sauk County, Wisconsin",Micropolitan,WI,Baraboo,,,,,,
12700,25,1,"Barnstable County, Massachusetts",Metropolitan,MA,Barnstable Town,,,,,,
12740,50,23,"Washington County, Vermont",Micropolitan,VT,Barre,,,,,,
12780,40,147,"Washington County, Oklahoma",Micropolitan,OK,Bartlesville,,,,,,
12820,22,67,"Morehouse Parish, Louisiana",Micropolitan,LA,Bastrop,,,,,,
12860,36,37,"Genesee County, New York",Micropolitan,NY,Batavia,,,,,,
12900,5,63,"Independence County, Arkansas",Micropolitan,AR,Batesville,,,,,,
12940,22,5,"Ascension Parish, Louisiana",Metropolitan,LA,Baton Rouge,,,,,,
12940,22,33,"East Baton Rouge Parish, Louisiana",Metropolitan,LA,Baton Rouge,,,,,,
12940,22,37,"East Feliciana Parish, Louisiana",Metropolitan,LA,Baton Rouge,,,,,,
12940,22,47,"Iberville Parish, Louisiana",Metropolitan,LA,Baton Rouge,,,,,,
12940,22,63,"Livingston Parish, Louisiana",Metropolitan,LA,Baton Rouge,,,,,,
12940,22,77,"Pointe Coupee Parish, Louisiana",Metropolitan,LA,Baton Rouge,,,,,,
12940,22,91,"St. Helena Parish, Louisiana",Metropolitan,LA,Baton Rouge,,,,,,
12940,22,121,"West Baton Rouge Parish, Louisiana",Metropolitan,LA,Baton Rouge,,,,,,
12940,22,125,"West Feliciana Parish, Louisiana",Metropolitan,LA,Baton Rouge,,,,,,
12980,26,25,"Calhoun County, Michigan",Metropolitan,MI,Battle Creek,,,,,,
13020,26,17,"Bay County, Michigan",Metropolitan,MI,Bay City,,,,,,
13060,48,321,"Matagorda County, Texas",Micropolitan,TX,Bay City,,,,,,
13100,31,67,"Gage County, Nebraska",Micropolitan,NE,Beatrice,,,,,,
13140,48,199,"Hardin County, Texas",Metropolitan,TX,Beaumont,Port Arthur,,,,,
13140,48,245,"Jefferson County, Texas",Metropolitan,TX,Beaumont,Port Arthur,,,,,
13140,48,361,"Orange County, Texas",Metropolitan,TX,Beaumont,Port Arthur,,,,,
13180,55,27,"Dodge County, Wisconsin",Micropolitan,WI,Beaver Dam,,,,,,
13220,54,81,"Raleigh County, West Virginia",Micropolitan,WV,Beckley,,,,,,
13260,18,93,"Lawrence County, Indiana",Micropolitan,IN,Bedford,,,,,,
13300,48,25,"Bee County, Texas",Micropolitan,TX,Beeville,,,,,,
13340,39,91,"Logan County, Ohio",Micropolitan,OH,Bellefontaine,,,,,,
13380,53,73,"Whatcom County, Washington",Metropolitan,WA,Bellingham,,,,,,
13420,27,7,"Beltrami County, Minnesota",Micropolitan,MN,Bemidji,,,,,,
13460,41,17,"Deschutes County, Oregon",Metropolitan,OR,Bend,,,,,,
13500,45,69,"Marlboro County, South Carolina",Micropolitan,SC,Bennettsville,,,,,,
13540,50,3,"Bennington County, Vermont",Micropolitan,VT,Bennington,,,,,,
13620,33,7,"Coos County, New Hampshire",Micropolitan,NH,Berlin,,,,,,
13620,50,9,"Essex County, Vermont",Micropolitan,NH,Berlin,,,,,,
13660,26,107,"Mecosta County, Michigan",Micropolitan,MI,Big Rapids,,,,,,
13700,48,227,"Howard County, Texas",Micropolitan,TX,Big Spring,,,,,,
13740,30,9,"Carbon County, Montana",Metropolitan,MT,Billings,,,,,,
13740,30,111,"Yellowstone County, Montana",Metropolitan,MT,Billings,,,,,,
13780,36,7,"Broome County, New York",Metropolitan,NY,Binghamton,,,,,,
13780,36,107,"Tioga County, New York",Metropolitan,NY,Binghamton,,,,,,
13820,1,7,"Bibb County, Alabama",Metropolitan,AL,Birmingham,Hoover,,,,,
13820,1,9,"Blount County, Alabama",Metropolitan,AL,Birmingham,Hoover,,,,,
13820,1,21,"Chilton County, Alabama",Metropolitan,AL,Birmingham,Hoover,,,,,
13820,1,73,"Jefferson County, Alabama",Metropolitan,AL,Birmingham,Hoover,,,,,
13820,1,115,"St. Clair County, Alabama",Metropolitan,AL,Birmingham,Hoover,,,,,
13820,1,117,"Shelby County, Alabama",Metropolitan,AL,Birmingham,Hoover,,,,,
13820,1,127,"Walker County, Alabama",Metropolitan,AL,Birmingham,Hoover,,,,,
13860,6,27,"Inyo County, California",Micropolitan,CA,Bishop,,,,,,
13900,38,15,"Burleigh County, North Dakota",Metropolitan,ND,Bismarck,,,,,,
13900,38,59,"Morton County, North Dakota",Metropolitan,ND,Bismarck,,,,,,
13940,16,11,"Bingham County, Idaho",Micropolitan,ID,Blackfoot,,,,,,
13980,51,71,"Giles County, Virginia",Metropolitan,VA,Blacksburg,Christiansburg,Radford,,,,
13980,51,121,"Montgomery County, Virginia",Metropolitan,VA,Blacksburg,Christiansburg,Radford,,,,
13980,51,155,"Pulaski County, Virginia",Metropolitan,VA,Blacksburg,Christiansburg,Radford,,,,
13980,51,750,"Radford city, Virginia",Metropolitan,VA,Blacksburg,Christiansburg,Radford,,,,
14020,18,55,"Greene County, Indiana",Metropolitan,IN,Bloomington,,,,,,
14020,18,105,"Monroe County, Indiana",Metropolitan,IN,Bloomington,,,,,,
14020,18,119,"Owen County, Indiana",Metropolitan,IN,Bloomington,,,,,,
14060,17,113,"McLean County, Illinois",Metropolitan,IL,Bloomington,Normal,,,,,
14100,42,37,"Columbia County, Pennsylvania",Micropolitan,PA,Bloomsburg,Berwick,,,,,
14100,42,93,"Montour County, Pennsylvania",Micropolitan,PA,Bloomsburg,Berwick,,,,,
14140,51,185,"Tazewell County, Virginia",Micropolitan,WV,Bluefield,,,,,,
14140,54,55,"Mercer County, West Virginia",Micropolitan,WV,Bluefield,,,,,,
14180,5,93,"Mississippi County, Arkansas",Micropolitan,AR,Blytheville,,,,,,
14220,22,117,"Washington Parish, Louisiana",Micropolitan,LA,Bogalusa,,,,,,
14260,16,1,"Ada County, Idaho",Metropolitan,ID,Boise City,Nampa,,,,,
14260,16,15,"Boise County, Idaho",Metropolitan,ID,Boise City,Nampa,,,,,
14260,16,27,"Canyon County, Idaho",Metropolitan,ID,Boise City,Nampa,,,,,
14260,16,45,"Gem County, Idaho",Metropolitan,ID,Boise City,Nampa,,,,,
14260,16,73,"Owyhee County, Idaho",Metropolitan,ID,Boise City,Nampa,,,,,
14300,48,147,"Fannin County, Texas",Micropolitan,TX,Bonham,,,,,,
14340,19,15,"Boone County, Iowa",Micropolitan,IA,Boone,,,,,,
14380,37,189,"Watauga County, North Carolina",Micropolitan,NC,Boone,,,,,,
14420,48,233,"Hutchinson County, Texas",Micropolitan,TX,Borger,,,,,,
14460,25,9,"Essex County, Massachusetts",Metropolitan,MA,Boston,Cambridge,Quincy,,,,
14460,25,17,"Middlesex County, Massachusetts",Metropolitan,MA,Boston,Cambridge,Quincy,,,,
14460,25,21,"Norfolk County, Massachusetts",Metropolitan,MA,Boston,Cambridge,Quincy,,,,
14460,25,23,"Plymouth County, Massachusetts",Metropolitan,MA,Boston,Cambridge,Quincy,,,,
